angle_rad, radius_px
8.160777791551611093e-01,4.308803484270956119e+02
8.191457407309323813e-01,4.309176595087582768e+02
8.222137023067036532e-01,4.309549705904208849e+02
8.252816638824749251e-01,4.309922816720834930e+02
8.283496254582461971e-01,4.317470604848253402e+02
8.314175870340174690e-01,4.318061101025998596e+02
8.344855486097888519e-01,4.341293804708537891e+02
8.375535101855601239e-01,4.366571985077707723e+02
8.406214717613313958e-01,4.394921657928156264e+02
8.436894333371026677e-01,4.451242085203787724e+02
8.467573949128739397e-01,4.494100002339744151e+02
8.498253564886452116e-01,4.529769490930034408e+02
8.528933180644164835e-01,4.582377867524170938e+02
8.559612796401877555e-01,4.619174147595528552e+02
8.590292412159590274e-01,4.656822522545277252e+02
8.620972027917302993e-01,4.695543397158623975e+02
8.651651643675015713e-01,4.735160669865572345e+02
8.682331259432729542e-01,4.771897274467855254e+02
8.713010875190442261e-01,4.798345792299661525e+02
8.743690490948154981e-01,4.843410681098168880e+02
8.774370106705867700e-01,4.852583402368392740e+02
8.805049722463580419e-01,4.874910671095842076e+02
8.835729338221293139e-01,4.897237939823291413e+02
8.866408953979005858e-01,4.918503085614135557e+02
8.897088569736718577e-01,4.922089615125897240e+02
8.927768185494431297e-01,4.928793886393009984e+02
8.958447801252144016e-01,4.930434668764312391e+02
8.989127417009856735e-01,4.933314623092018110e+02
9.019807032767570565e-01,4.933878794396307512e+02
9.050486648525283284e-01,4.928558255823119794e+02
9.081166264282996003e-01,4.923081733360074850e+02
9.111845880040708723e-01,4.911346633202824137e+02
9.142525495798421442e-01,4.905716273754741792e+02
9.173205111556134161e-01,4.907689628868819227e+02
9.203884727313846881e-01,4.901847428887652427e+02
9.234564343071559600e-01,4.897493906155283980e+02
9.265243958829272319e-01,4.892459570109912192e+02
9.295923574586985039e-01,4.892920725410924092e+02
9.326603190344697758e-01,4.881807514406303312e+02
9.357282806102411588e-01,4.870694303401681395e+02
9.387962421860124307e-01,4.821812863380396266e+02
9.418642037617837026e-01,4.787031356942610500e+02
9.449321653375549745e-01,4.764053769093132473e+02
9.480001269133262465e-01,4.725775482180132485e+02
9.510680884890975184e-01,4.681912428354798976e+02
9.541360500648687903e-01,4.659225137867464355e+02
9.572040116406400623e-01,4.599140224945583100e+02
9.602719732164113342e-01,4.560035085452470298e+02
9.633399347921826061e-01,4.495252088021711074e+02
9.664078963679539891e-01,4.446456279691644795e+02
9.694758579437252610e-01,4.403479538265075348e+02
9.725438195194965330e-01,4.370047326738873039e+02
9.756117810952678049e-01,4.345552009622711012e+02
9.786797426710390768e-01,4.327877978773237828e+02
9.817477042468103487e-01,4.318977757531347947e+02
9.848156658225816207e-01,4.314137880795302067e+02
9.878836273983528926e-01,4.313358949083985863e+02
9.909515889741241645e-01,4.312352885316371953e+02
9.940195505498954365e-01,4.307985948193564241e+02
9.970875121256667084e-01,4.310721331112599728e+02
1.000155473701437980e+00,4.306352282683029102e+02
1.003223435277209363e+00,4.306247257222909184e+02
1.006291396852980524e+00,4.304958375186684520e+02
1.009359358428751907e+00,4.315208835776795695e+02
1.012427320004523068e+00,4.318309940911532863e+02
1.015495281580294451e+00,4.321411046046270599e+02
1.018563243156065834e+00,4.324512151181007766e+02
1.021631204731836995e+00,4.328395006439178587e+02
1.024699166307608378e+00,4.364987078579086415e+02
1.027767127883379539e+00,4.384807612075592260e+02
1.030835089459150922e+00,4.429028958449059701e+02
1.033903051034922083e+00,4.459597602571328707e+02
1.036971012610693466e+00,4.491225493374835196e+02
1.040038974186464626e+00,4.552948441455415036e+02
1.043106935762236009e+00,4.592696461085511714e+02
1.046174897338007170e+00,4.633651791109177225e+02
1.049242858913778553e+00,4.678611403335398791e+02
1.052310820489549936e+00,4.713104952217943264e+02
1.055378782065321097e+00,4.750748787944969536e+02
1.058446743641092480e+00,4.777192522545764746e+02
1.061514705216863641e+00,4.809113531381511280e+02
1.064582666792635024e+00,4.841034540217259519e+02
1.067650628368406185e+00,4.866689247921071910e+02
1.070718589944177568e+00,4.878340522384098108e+02
1.073786551519948729e+00,4.882922906262071479e+02
1.076854513095720112e+00,4.887435457769292952e+02
1.079922474671491273e+00,4.891948009276514426e+02
1.082990436247262656e+00,4.896460560783735900e+02
1.086058397823034039e+00,4.894977327176409858e+02
1.089126359398805199e+00,4.898318387072409337e+02
1.092194320974576582e+00,4.895654141085054221e+02
1.095262282550347743e+00,4.900439647698123053e+02
1.098330244126119126e+00,4.897834424715153432e+02
1.101398205701890287e+00,4.901168866083211810e+02
1.104466167277661670e+00,4.900228262699303627e+02
1.107534128853432831e+00,4.897242931427655321e+02
1.110602090429204214e+00,4.895372309892472913e+02
1.113670052004975597e+00,4.900486730552401582e+02
1.116738013580746758e+00,4.905601151212329682e+02
1.119805975156518141e+00,4.901102432029878742e+02
1.122873936732289302e+00,4.873409780524642088e+02
1.125941898308060685e+00,4.831526800266066743e+02
1.129009859883831846e+00,4.802117478391714940e+02
1.132077821459603229e+00,4.769953873388881220e+02
1.135145783035374389e+00,4.729575300620952589e+02
1.138213744611145772e+00,4.704403365218884119e+02
1.141281706186916933e+00,4.662805638253674942e+02
1.144349667762688316e+00,4.615468297825482296e+02
1.147417629338459699e+00,4.595113222663560464e+02
1.150485590914230860e+00,4.533420246304742705e+02
1.153553552490002243e+00,4.496231960436685426e+02
1.156621514065773404e+00,4.445776746089936751e+02
1.159689475641544787e+00,4.401983261898288902e+02
1.162757437217315948e+00,4.369822150864747528e+02
1.165825398793087331e+00,4.353174559305240336e+02
1.168893360368858492e+00,4.336611215656305376e+02
1.171961321944629875e+00,4.320138878250745051e+02
1.175029283520401036e+00,4.314643484229909518e+02
1.178097245096172418e+00,4.309148090209073985e+02
1.181165206671943801e+00,4.303652696188238451e+02
1.184233168247714962e+00,4.304884973281251064e+02
1.187301129823486345e+00,4.303668996174474159e+02
1.190369091399257506e+00,4.308428773666789766e+02
1.193437052975028889e+00,4.306454233061492687e+02
1.196505014550800050e+00,4.312317481942983477e+02
1.199572976126571433e+00,4.318180730824475404e+02
1.202640937702342594e+00,4.324043979705966194e+02
1.205708899278113977e+00,4.329907228587457553e+02
1.208776860853885138e+00,4.335770477468948343e+02
1.211844822429656521e+00,4.349470598920416364e+02
1.214912784005427904e+00,4.361431815410933268e+02
1.217980745581199065e+00,4.406277411186018185e+02
1.221048707156970448e+00,4.451123006961106512e+02
1.224116668732741608e+00,4.495968602736191997e+02
1.227184630308512991e+00,4.518171548359398457e+02
1.230252591884284152e+00,4.554968258035119106e+02
1.233320553460055535e+00,4.601693483790796222e+02
1.236388515035826696e+00,4.648418709546470495e+02
1.239456476611598079e+00,4.695143935302147611e+02
1.242524438187369240e+00,4.741869161057821884e+02
1.245592399763140623e+00,4.759100792133400546e+02
1.248660361338912006e+00,4.797985664862594604e+02
1.251728322914683167e+00,4.811081167632953566e+02
1.254796284490454550e+00,4.844547436390355983e+02
1.257864246066225711e+00,4.869728697353884286e+02
1.260932207641997094e+00,4.883618235536713996e+02
1.264000169217768255e+00,4.899383133894351658e+02
1.267068130793539638e+00,4.907214261710896039e+02
1.270136092369310798e+00,4.911386691723961349e+02
1.273204053945082181e+00,4.907043433654314413e+02
1.276272015520853564e+00,4.923084370317716889e+02
1.279339977096624725e+00,4.924736495470714885e+02
